candidate_id,name,party_code,question_id,topic,question,answer_value,answer_label,answer_text,is_important,argument_for,argument_against
798,Sofie de Bretteville Olsen,A,1270,SKAT OG AFGIFTER,"De boligejere, der tjener mest på prisstigninger, skal betale mere i skat",2,Enig,,False,"Boligpriserne er steget markant mange steder, og nogle boligejere har fået store gevinster. Hvis de, der tjener mest på bolig, betaler mere i skat, kan det bidrage til mere økonomisk lighed og give flere penge til velfærd.","Boligejere betaler allerede høje skatter og afgifter og har allerede betalt skat af de penge, de har købt boligen for. At købe en bolig er en stor beslutning, som folk planlægger deres økonomi efter langt frem i tiden, så det skaber stor usikkerhed at lave om på skatten."
798,Sofie de Bretteville Olsen,A,1275,ØKONOMI OG ARBEJDSMARKED,Danmark bruger for mange penge på at støtte Ukraine i krigen mod Rusland,2,Enig,,False,Det er vigtigere at bruge ressourcerne på udfordringer i Danmark end en krig langt væk.,Støtten til Ukraine bidrager til europæisk sikkerhed og til at modstå russisk aggression. Det kommer også Danmark til gode.
798,Sofie de Bretteville Olsen,A,1304,ØKONOMI OG ARBEJDSMARKED,"Store Bededag skal genindføres som helligdag, selv om det koster staten penge",4,Uenig,,False,"Det var forkert at afskaffe Store Bededag, fordi det øgede folks samlede arbejdstid. Familier og lønmodtagere er pressede og har derfor behov for den fridag.","Det mindsker arbejdsudbuddet og kan koste staten flere milliarder kroner om året at genindføre helligdagen. Der er brug for pengene til andre prioriteter. Samtidig er det usikkert, hvordan man skal rulle bededagstillægget tilbage."
798,Sofie de Bretteville Olsen,A,1300,UDLÆNDINGE,Det er vigtigere at kunne udvise flere kriminelle udlændinge end at overholde internationale konventioner,4,Uenig,,False,"Det virker urimeligt, hvis en udlænding får lov at blive i landet trods alvorlig kriminalitet. Det kan krænke retsfølelsen og svække tilliden til systemet.","Konventioner beskytter grundlæggende rettigheder, og det er afgørende for et lille land som Danmark, at der er en international retsorden, som verdens lande følger. Hvis vi ikke selv overholder konventionerne, er vi med til at underminere dem."
798,Sofie de Bretteville Olsen,A,1289,SOCIAL OG ULIGHED,Der skal være større udligning mellem rige og fattige kommuner,4,Uenig,,False,"Der er stor forskel på, hvor velstillede kommunernes borgere er, og hvor meget hjælp de behøver fra det offentlige. Hvis pengene omfordeles endnu mere end i dag, kan det sikre mere ensartet velfærd på tværs af landet og skabe mere lighed.","De rigeste kommuner betaler allerede meget til de fattigste, og mere udligning kan mindske kommunernes incitament til selv at blive mere effektive, styrke erhvervsliv og skabe job. Mere omfordeling kan svække det kommunale selvstyre og mindske borgeres støtte til systemet i de kommuner, der skal betale mere."
798,Sofie de Bretteville Olsen,A,1301,ØKONOMI OG ARBEJDSMARKED,"Folkepensionsalderen skal fortsat stige med et år, når den gennemsnitlige levealder stiger med et år",2,Enig,,False,"Den stigende pensionsalder er en hovedårsag til Danmarks stærke økonomi. Det er naturligt, at vi arbejder længere i takt med, at vi lever længere.","Pensionsalderen kan ikke blive ved med at stige. Der må være grænser for, hvor længe man skal arbejde, og den stigende pensionsalder er hårdere for nogle grupper end for andre."
798,Sofie de Bretteville Olsen,A,1285,SKAT OG AFGIFTER,Skatten for de højeste indkomster skal sættes op,4,Uenig,,False,"Hvis de rigeste betaler mere i skat, giver det mere lighed i samfundet, og det kan give flere penge, staten kan bruge.","Dem med de højeste indkomster i forvejen er dem, som betaler og bidrager mest i skat. Skattestigninger kan mindske incitamentet til at arbejde og investere, og det kan gå ud over den samlede velstand."
798,Sofie de Bretteville Olsen,A,1298,ØKONOMI OG ARBEJDSMARKED,Danmark skal bruge færre penge på udviklingsbistand,2,Enig,,False,Pengene kan bruges bedre på nationale udfordringer. Danmark kan godt sænke bistanden og stadig betale mere end mange andre lande i forhold til vores størrelse.,"Udviklingsbistand er vigtigt for stabilitet og for at bekæmpe fattigdom, der kan føre til flygtningestrømme. Danmark lever i dag akkurat op til FN's anbefaling om, hvor meget de rige lande bør betale i bistand, og det er vigtigt for Danmarks omdømme, at vi bliver ved med det."
798,Sofie de Bretteville Olsen,A,1278,"KLIMA, MILJØ OG LANDBRUG",Atomkraft på dansk jord skal være en del af energiforsyningen på længere sigt,2,Enig,,False,"Atomkraft udleder næsten ingen CO2 og er derfor et klimavenligt alternativ til olie og kul. Samtidig kræver det meget mindre plads end vind- og solenergi, og det er stabilt døgnet rundt.","Atomkraft vil være dyrt og tage lang tid at anlægge. Samtidig rejser det spørgsmål om sikkerhed og opbevaring af atomaffald, som er radioaktivt i tusinder af år."
798,Sofie de Bretteville Olsen,A,1305,ØKONOMI OG ARBEJDSMARKED,Overførselsindkomsten til de fattigste kontanthjælpsmodtagere skal sættes op,4,Uenig,,False,"Uligheden i Danmark er blevet for stor. Vi er for rigt et samfund til at lade de fattigste være så økonomisk pressede, som det er tilfældet for nogle, og det er ikke alle, der er i stand til at arbejde.","Det skal kunne betale sig at arbejde. Hvis overførselsindkomsterne er for høje, mindsker det incitamentet til at komme i job."
798,Sofie de Bretteville Olsen,A,1294,SKOLE OG UDDANNELSE,Flere børn med særlige udfordringer bør gå i specialklasse frem for i almindelige skoleklasser,4,Uenig,,False,"Specialklasser kan give bedre støtte til barnet med udfordringer. Hvis børn med særlige udfordringer kommer ud af de almindelige klasser, kan der blive mere ro og lærerfokus til de øvrige børn.","Det kan stigmatisere børn med særlige behov og skabe en mindre rummelig folkeskole. Det er uholdbart, at flere og flere børn ikke kan være i den almindelige folkeskole, da børn i specialtilbud ofte klarer sig dårligt i forhold til uddannelse og arbejde."
