candidate_id,name,party,municipality,priority_number,priority_text
7250,Pernille Rosenkrantz-Theil,A,Københavns Kommune,1,"/19 | økonomi | Københavns Kommune Flere opgaver i den offentlige sektor skal fremover løses af private virksomheder Uenig Pernilles svar Enig ""Vores velfærd og driften af byen skal være på fællesskabets hænder. Vi skal have sikkerhed for, at velfærden i København lever op til de standarder, som vi ønsker. Til gengæld vil vi gerne have høj grad af faglig frihed i forhold til i dag. "" - Pernille Rosenkrantz-Theil"
7250,Pernille Rosenkrantz-Theil,A,Københavns Kommune,2,"/19 | social & velfærd | Københavns Kommune Offentlige institutioner tager for mange hensyn til religiøse minoriteter, for eksempel ved at tilbyde måltider uden svinekød Uenig Pernilles svar Enig ""København er en mangfoldig storby, og det er en af de ting, der gør byen vidunderlig. Vi bor mange mennesker sammen, der tror, lever og spiser forskelligt. Det skal også afspejles i madmulighederne for børn i vuggestuer, børnehaver og skoler samt for de ældre på plejehjemmene. Vi skal kunne være her alle sammen, og der skal være balance mellem fællesskaber og plads til forskellighed."" - Pernille Rosenkrantz-Theil"
7250,Pernille Rosenkrantz-Theil,A,Københavns Kommune,3,"/19 | trafik & transport | Københavns Kommune Investering i vejnettet haster mere end investering i kollektiv trafik Uenig Pernilles svar Enig ""Man skal kunne have bil i København. Derfor vil vi også gøre det nemmere og sikre, at der er parkeringspladser nok. Men der er rigtigt mange i vores by, der kommer rundt i hverdagen med kollektiv transport. Derfor vil vi prioritere at investere mere i bedre kollektiv transport med mere metro, busser og tog. "" - Pernille Rosenkrantz-Theil Vis alle Pernille Rosenkrantz-Theils mærkesager"
7250,Pernille Rosenkrantz-Theil,A,Københavns Kommune,1,"1.	Gratis vuggestuer og børnehaver : Det er blevet alt for dyrt at bo i København, og mange presses ud af byen. Man kan ikke sænke boligpriserne med et fingerknips, men jeg vil gøre det billigere at bo her. Især børnefamilier er hårdt ramt. Derfor vil jeg gøre pasning i vuggestuer og børnehaver gratis. Det giver familier mere luft i økonomien og en ny, gratis velfærdsydelse til alle."
7250,Pernille Rosenkrantz-Theil,A,Københavns Kommune,2,"Sikre parkeringspladser nok i København : Jeg vil sikre, at der er parkeringspladser nok i København. For mange mennesker er bilen afgørende for at få hverdagen til at hænge sammen – især for pendlere og børnefamilier. Der skal være parkeringspladser nok i København. Partierne på venstrefløjen foreslår at nedlægge tusindvis af parkeringspladser. Det mener Socialdemokratiet, er den helt forkerte vej at gå."
7250,Pernille Rosenkrantz-Theil,A,Københavns Kommune,3,"Et mere retfærdigt boligmarked : Vi har fået alt for mange alt for dyre private lejeboliger i vores by. Med huslejer så høje, at det er de færreste, der har råd til at bo i dem. Derfor vil vi have markant færre dyre private lejeboliger, og markant flere ejerboliger og billige almene boliger. For os er det vigtigt, at leveomkostningerne kommer ned, så vi kan sikre, at vores børn kan flytte hjemmefra og stifte familie. Om Pernille Rosenkrantz-Theil Uddannelse Bachelor-/diplomuddannelse Bopæl Brønshøj Sociale medier KV25 lige nu KV25 13 min. siden Klaus er ene mand på sin egen liste: ’Jeg har ikke været nem at putte ind i et parti’ KV25 56 min. siden Det lugter af drama og målfoto: Anders og Anders i hård duel om magten i skandaleramt region KV25 I dag kl. 07:20 ’Hvis vi skal gøre nogen til borgmester, må de til lommerne’: Nyt børne-krav skruer op for valgdrama KV25 I dag kl. 06:24 Nej til homovielser kan koste vestjysk stemmesluger borgmesterposten - igen KV25 I går kl. 21:36 14-årige Lucas blander sig i KV-debatten: 'Unge bliver ofte overset' KV25 I går kl. 13:02 Fordrejer borgmesteren sandheden? Beskyldningerne fyger i kampen om Frederiksberg KV25 I går kl. 10:45 1.400 ældre mistede deres kommunale støvsugning: Nu laver Venstre en kovending KV25 I går kl. 09:31 Politikere erkender problemer med at lokke forældre til folkeskolen: 'En konstatering af integrationsudfordringer' Nyhedsoverblik Penge I dag kl. 08:40 MILLIONER MILLIARDER: Lakridskongen abdicerer og har solgt sin sidste lakrids. Forklaringen bag lyder velkendt KV25 25. okt kl. 06:21 Venstre-kandidat i Nyborg trækker sig: Bekræfter gammel dom for 'krænkelse og seksuelt overgreb' mod mindreårig Liveblog KV25 56 min. siden Det lugter af drama og målfoto: Anders og Anders i hård duel om magten i skandaleramt region Kultur I dag kl. 09:36 Kommen i kød og forberedelse til efterlivet – prepping er langt fra et nyt fænomen KV25 I dag kl. 06:24 Om det så koster ham borgmesterposten: Vestjysk stemmesluger nægter at vie homoseksuelle Kort nyt I dag kl. 07:39 Trump fjerner told på 200 fødevarer Indland I dag kl. 07:04 Klimamarch i København er kommunalvalgsmarch, fastslår arrangør Natur I går kl. 17:00 Forskere gør banebrydende RNA-fund i pivgammel mammut Herrelandsholdet I dag kl. 08:00 Brændt barn skyr ilden, og Højlund skyr mediehype Gå til forsiden af dr.dk Nyheder Seneste nyt Regionalt Sport Vejret Ultra Nyt TV & Radio TV-Guide TV-programmer Se live-TV Gensyn Ultra Ramasjang Hør radio Services Mit DR-login Apps Tilgængelighed Nyhedsbreve Kontakt DR Tip os fortroligt DR og dine data Børn Ultra DR Lær Om DR Nyt fra DR Job i DR Presse Beredskab DR Koncerthuset Rundvisninger Vilkår på dr.dk Etik og rettelser Privatlivs­politik Vi tager ansvar for indholdet og er tilmeldt Pressenævnet DR Emil Holms Kanal 20 0999 København C Tlf. 35 20 30 40 Kontakt DR"
6116,Andreas Keil,A,Københavns Kommune,1,/19 | økonomi | Københavns Kommune Flere opgaver i den offentlige sektor skal fremover løses af private virksomheder Uenig Andreas' svar Enig
6116,Andreas Keil,A,Københavns Kommune,2,"/19 | social & velfærd | Københavns Kommune Offentlige institutioner tager for mange hensyn til religiøse minoriteter, for eksempel ved at tilbyde måltider uden svinekød Uenig Andreas' svar Enig"
6116,Andreas Keil,A,Københavns Kommune,3,/19 | trafik & transport | Københavns Kommune Investering i vejnettet haster mere end investering i kollektiv trafik Uenig Andreas' svar Enig Vis alle Andreas Keils mærkesager
6116,Andreas Keil,A,Københavns Kommune,1,"Børne- ungdomspolitik : Alt for mange børn mistrives i dag, og det må vi tage alvorligt. Børn har brug for støtte, tryghed og stærke fællesskaber for at trives. Gennem sport og sociale fællesskaber kan vi skabe plads, og give børnene et stærkt fundament. Vi skal stå sammen og gøre mere for at sikre, at ingen børn falder udenfor."
