candidate_1,candidate_2,similarity,party_1,party_2,same_party
Else Marie Thorgaard (C),Marie Budtz Andersen (C),0.8362220923679965,C,C,True
Rasmus Edelberg (A),Rasmus Holme (Ø),0.8233349774151578,A,Ø,False
Henrik Karl Hierl (I),Henrik Kragelund (C),0.8198601066487087,I,C,False
Mads Freund (M),Mads Simonsen (A),0.8104157267527428,M,A,False
Julius Lundsteen (F),Klaus Eskelund (C),0.8008715375793533,F,C,False
Nikolaj Bøgh (C),Nikolaj Rachdi Bührmann (F),0.7881689955114634,C,F,False
Emil Samaras (Ø),Mads-Emil Gaardsvig Christensen (Ø),0.7858195980148176,Ø,Ø,True
Kim Christiansen (A),Kim Hjerrild (Å),0.7748782831039324,A,Å,False
Anders Storgaard (C),Elias Lederhaas (C),0.7641173063349788,C,C,True
Søren Brønchenburg (C),Søren Frost (V),0.7628149100113353,C,V,False
Elias Lederhaas (C),Malte Mathies Løcke (A),0.7575024025705542,C,A,False
Søren Brønchenburg (C),Søren Dahlstrøm (A),0.7497083137696112,C,A,False
Claus Wagenblast-Franck (C),Elias Lederhaas (C),0.732756623609172,C,C,True
Anders Storgaard (C),Julius Lundsteen (F),0.727922824679203,C,F,False
Claus Wagenblast-Franck (C),Julius Lundsteen (F),0.7095804587106121,C,F,False
Anders Storgaard (C),Klaus Eskelund (C),0.7092843509991128,C,C,True
Anders Storgaard (C),Malte Mathies Løcke (A),0.692099468829499,C,A,False
Elias Lederhaas (C),Julius Lundsteen (F),0.6836020728444607,C,F,False
August Gade (F),Lotte Kofoed (F),0.6788676285396416,F,F,True
Isabel Havndrup Aackmann (B),Rosa Agersnap Bone (Ø),0.6735614200306397,B,Ø,False
Anders Storgaard (C),Claus Wagenblast-Franck (C),0.6734462643694856,C,C,True
Claus Wagenblast-Franck (C),Klaus Eskelund (C),0.672891103279495,C,C,True
August Gade (F),Rosa Agersnap Bone (Ø),0.6693278977428071,F,Ø,False
Susanne Nørlund Munk (A),Vibeke Westh (A),0.6686509325787833,A,A,True
Jan E. Jørgensen (V),Silas T. H. Rasmussen (C),0.6672208521913721,V,C,False
Kristoffer Appel (A),Lotte Kofoed (F),0.6642350303919429,A,F,False
Lone Loklindt (B),Lotte Kofoed (F),0.6580216249714066,B,F,False
Claus Wagenblast-Franck (C),Malte Mathies Løcke (A),0.6552006792573053,C,A,False
Søren Dahlstrøm (A),Søren Frost (V),0.653068185669283,A,V,False
Fasael Rehman (C),Frederik Tuxen Bjerrum (I),0.6445528751167995,C,I,False
Christian Ohm-Hieronymussen (V),Jens-Christian Navarro Poulsen (B),0.6413608381746653,V,B,False
Lars Berg Andersen (I),Tone Høybye (Ø),0.6399307735086155,I,Ø,False
Tim Tue Wodskou (Å),Tone Høybye (Ø),0.6370736570104112,Å,Ø,False
Helle Sjelle (M),Susanne Nørlund Munk (A),0.6366531716901119,M,A,False
Julius Lundsteen (F),Malte Mathies Løcke (A),0.6349023905632933,F,A,False
Carina Høedt (C),Lotte Kofoed (F),0.6347787268268998,C,F,False
Rosa Agersnap Bone (Ø),Tim Tue Wodskou (Å),0.633423745026349,Ø,Å,False
