candidate_label,Alexandra Dessoy (C),Anders Storgaard (C),Ane Rolsted (C),Anne Eggen (Ø),Anne Eskildsen (B),Annedorthe Kring (Å),Asbjørn Dalgaard (A),August Gade (F),Bettina Palle (I),Bianca Vitting (Ø),Birgit Bech (Ø),Bjarke Bisgaard Yolal (F),Bjarne Henriksen (A),Brian Holm (C),Britt Dam (A),Carina Høedt (C),Carsten Nørballe (F),Caspar Stefani (C),Casper Pedersen (V),Cecilie Fisker (M),Christian Ohm-Hieronymussen (V),Christina Sylvest-Noer (A),Christine Jørnø Vestergaard (A),Claude Teisen-Simony (T),Claus Wagenblast-Franck (C),Daniel Panduro (Ø),David Michael Gerschwald (O),Ebbe Wendt Lorenzen (A),Elias Lederhaas (C),Else Guldager (Ø),Else Marie Thorgaard (C),Emil Samaras (Ø),Eva Bechmann (Æ),Fasael Rehman (C),Frederik Tuxen Bjerrum (I),Freja Fokdal (B),Gabriel Egholm Rasmussen (Ø),Helle Sjelle (M),Henrik Karl Hierl (I),Henrik Kragelund (C),Isabel Havndrup Aackmann (B),Jacob Rosenberg (C),Jakob Ørsted (Ø),Jan E. Jørgensen (V),Janek Balling Majewicz (A),Jens Otto Jarløv (B),Jens-Christian Navarro Poulsen (B),Jesper Jerry Schou Nielsen (F),Jesper Ronald Jensen (C),Jimmy Streit (C),Joachim Høyrup (V),Joseph Favilla (I),Julius Lundsteen (F),Karsten Lauritsen (B),Kim Christiansen (A),Kim Hjerrild (Å),Klaus Eskelund (C),Kristoffer Appel (A),Kurt Pii (M),Lars Berg Andersen (I),Laura Lindahl (C),Laurids Kristian Fahl (Ø),Line Østergaard Olsen (I),Lone Loklindt (B),Lotte Kofoed (F),Mads Freund (M),Mads Simonsen (A),Mads-Emil Gaardsvig Christensen (Ø),Maj-Britt Mathiesen (C),Malene Sandfeld (V),Malou Ananiassen (C),Malou Astrup (A),Malte Mathies Løcke (A),Marie Budtz Andersen (C),Martin Skytte (D),Matthew Dawids (O),Merete Winther Hildebrandt (C),Mette Bram (Å),Mia Michelle Haugaard (Ø),Michella Lescher (F),Nikolaj Bøgh (C),Nikolaj Rachdi Bührmann (F),Nina Wendt (F),Palle Bisgaard (Ø),Peder Brandhof (C),Per Ludvigsen (V),Per Odin Thiim Thim (E),Per Paludan Hansen (V),Per Toni Hansen (B),Peter Kristiansen (F),Pil Yildiz (Ø),Preben Boldt (V),Rami Zouzou (C),Rasmus Edelberg (A),Rasmus Holme (Ø),René Hülz (F),Rie Jakobsen (C),Rikke Alice Bille (B),Rosa Agersnap Bone (Ø),Rune Rummel (A),Silas T. H. Rasmussen (C),Sine Heltberg (A),Sofie Kümpel (A),Susanne Bonfils (V),Susanne Nørlund Munk (A),Søren Bach (V),Søren Brønchenburg (C),Søren Dahlstrøm (A),Søren Frost (V),Thomas Frank (A),Thomas Jean Nielsen (M),Thomas Mølgaard Andersen (Å),Tilde Nordin Dræger (Ø),Tim Tue Wodskou (Å),Tina Jacobsen (C),Tomas Munch Nielsen (F),Tone Høybye (Ø),Torben Grinderslev (C),Vibeke Westh (A)
Alexandra Dessoy (C),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anders Storgaard (C),0.0,1.0000000000000004,0.0,0.08469786062078226,0.0,0.21755636912401335,0.2492970467321274,0.3874612156955835,0.062024100634277615,0.34058260877426977,0.21379443923193567,0.18292300484869245,0.0,0.13890466024254108,0.24689836545659194,0.4330693645660059,0.0,0.19534359116040206,0.28385959568449215,0.3353323386339103,0.06474606680802839,0.31006498643585484,0.0,0.05101939727005146,0.6734462643694856,0.3458346083363806,0.18130897296186682,0.28218109990896023,0.7641173063349788,0.24517690849066956,0.14501052545382606,0.21339988592007442,0.29999887478451315,0.3341695517466069,0.3401611357593802,0.3814841680422111,0.23243020544913226,0.27654682777103956,0.16392470987162613,0.13165213009715832,0.3564918855967927,0.37987698061290215,0.0,0.20804202574936778,0.1128259805777111,0.05512128150060513,0.0,0.02888585243741605,0.2474548038592997,0.3607310661700942,0.317192671942049,0.17706109983350085,0.727922824679203,0.0,0.1075750337621175,0.2120617913250295,0.7092843509991128,0.35276763513206805,0.16813944765451658,0.30215125266941173,0.18900072607216406,0.0,0.13050003599158957,0.32881350673884285,0.38299831520482785,0.4897261205547838,0.4103562616877506,0.0,0.016114501945887566,0.2642495860259989,0.2281608942595042,0.0,0.692099468829499,0.11007221189870883,0.0,0.1558980452485611,0.3507689389047835,0.3452638836422115,0.24624043557628925,0.370514765567543,0.17491950019015184,0.07131411837044487,0.0,0.3077830650095645,0.18739339113828424,0.0,0.318895682967009,0.0447445602805189,0.008481504477374384,0.07900948734588557,0.20729557800744297,0.20002448071997306,0.241472928645636,0.5468908098541205,0.5387631890979077,0.06859589855691617,0.23559163408366954,0.19831620955584475,0.35737153912933617,0.18169887239748114,0.0571803051609416,0.17531329726161882,0.025428649605148748,0.0,0.3244676319962424,0.0,0.24777662541133783,0.09602872418822683,0.22291090530859928,0.470252436852467,0.2314331004403417,0.037834417103191006,0.18109519302439175,0.3732154756388,0.17826215594769196,0.20087651450890162,0.30436579373384076,0.0,0.2927408116750683
Ane Rolsted (C),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anne Eggen (Ø),0.0,0.08469786062078226,0.0,1.0,0.0,0.07790588670233771,0.10487970998356745,0.1548881537777558,0.0,0.06439574363478777,0.10053115868324729,0.06406723914034997,0.0,0.07609752043581534,0.05212777569060841,0.15209430972706856,0.0,0.13616606832093472,0.13333209984333894,0.21424567683806647,0.0,0.13859974633416758,0.0,0.02956210510091212,0.12312534797491333,0.0982562256020831,0.13572937018700293,0.12079336398228996,0.05900282555663447,0.12047323848327025,0.04452607955225038,0.04314140776158718,0.14288716512333718,0.16647543745125337,0.26352383112174665,0.05758817439690857,0.09560080709414451,0.10080173442882766,0.04987991329106494,0.08077071565340962,0.1698258240267576,0.14469102442807988,0.0,0.09302168519722259,0.0,0.04986808460994487,0.0,0.0,0.04804486723050824,0.13343787747551328,0.15104295545357868,0.047937032296177164,0.08840150533953921,0.0,0.02146477166457583,0.09102717519823521,0.0,0.07120400732251486,0.1391255129156183,0.13762716054369206,0.13066052785558363,0.0,0.05650359412443823,0.12892514703534944,0.13223042653852732,0.036636986744974065,0.04032149474746764,0.0,0.0,0.1476750820228911,0.09683546714172646,0.0,0.09382486172324318,0.09823900210265091,0.0,0.12390905830507574,0.12620272805730898,0.09658974116009669,0.0862528439606328,0.11620366196728364,0.06595058778625451,0.025224583924994513,0.0,0.05581926896271302,0.0,0.0,0.14378414214882226,0.0,0.0,0.05835265733680584,0.23874436934062648,0.09314245708228287,0.14954490456398029,0.08305618914968037,0.0743584573293357,0.0,0.16419896710901707,0.096339408077164,0.08955733548467035,0.08497774042308123,0.03483062839718653,0.05850886509394393,0.0,0.0,0.12638598905194204,0.0,0.11329461579400886,0.08779812001294715,0.07475744548887889,0.06933476763359482,0.13655541902993254,0.040528493007017344,0.026470158746900514,0.1666824396326589,0.0,0.08280251235841071,0.1542398705475758,0.0,0.1558980497492799
Anne Eskildsen (B),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annedorthe Kring (Å),0.0,0.21755636912401335,0.0,0.07790588670233771,0.0,0.9999999999999999,0.20709878985273922,0.31815552843475997,0.08139279174847765,0.38993001348945755,0.26497157601191546,0.22925854348231905,0.0,0.07516871370180066,0.2251694598591005,0.3728046683365988,0.0,0.26889113508643775,0.250742721083056,0.264193471483865,0.1170942100385822,0.29314333515761676,0.0,0.12111312110307106,0.1724007538309789,0.40121451948192616,0.28478655508802103,0.25816624032881474,0.21910626335592664,0.28709899715404386,0.11545656863906392,0.1693966599188868,0.28580842023923925,0.25926663490592894,0.31140789885821707,0.2804960523994914,0.19734470980254828,0.2765937492826421,0.19172833565538286,0.12711386344161696,0.3161894136255791,0.31735858600088673,0.0,0.22535382912254112,0.19894795246776473,0.1437196389061247,0.0,0.012434942090950836,0.22268004807959996,0.35881515032108074,0.2880060288160376,0.13158325554058767,0.10661044118671807,0.0,0.09123625605276474,0.18402511384496412,0.0,0.2680787005754278,0.21736571276490047,0.30359688171070076,0.2637433481500955,0.0,0.13643686909467487,0.31292062115053304,0.3143235654976733,0.09346684300550466,0.10709253215597797,0.0,0.0,0.29265585985566556,0.254365109893141,0.0,0.27751194730253537,0.08829432853816267,0.0,0.1846090112222587,0.25661055789527487,0.3523148347682871,0.21601138534499115,0.26641429625372665,0.18751895158121493,0.06893380804551202,0.0,0.2645554517696639,0.10232367560878997,0.0,0.27076261431530707,0.0895376748603784,0.05039243188533158,0.1686772859892403,0.2784475264744284,0.1985551615891001,0.2704458490150988,0.23464090194774065,0.1937939261973907,0.0642965728904799,0.24768561543562884,0.2379276198804508,0.3275064205337163,0.17818596633347245,0.07627902335913658,0.1624494228091659,0.18054756934058672,0.0,0.28335726042039167,0.0,0.23301871689447282,0.10051916058200351,0.2274140601576148,0.08936714756908912,0.19250332451519192,0.10786163456664832,0.2716763983956232,0.33581222078611206,0.3003761775512253,0.24052029456127105,0.32918945133035726,0.0,0.25273965954296873
Asbjørn Dalgaard (A),0.0,0.2492970467321274,0.0,0.10487970998356745,0.0,0.20709878985273922,1.0,0.4327373480303851,0.0313188969030682,0.4071589732390487,0.3287335797258586,0.3095130147608405,0.0,0.14860168576587762,0.3186112921144269,0.43163492887872734,0.0,0.3863716422771538,0.40955421728785524,0.4270870907474365,0.08921347870354443,0.5213910301735759,0.0,0.16938178798247208,0.3082650086964063,0.3707766212547244,0.28079631641126024,0.4357337655475139,0.3139159691072309,0.3722763128954137,0.1583787994538825,0.2909546414128874,0.3924281473855642,0.5081514521886789,0.4108918479534112,0.43192515631523787,0.23831396983347372,0.4931404488873897,0.24167908694152498,0.23600821410719713,0.5316044597012488,0.46124456364920907,0.0,0.3152959997790036,0.16146319051865454,0.21509673878731328,0.0,0.10161329881478938,0.3741146028819438,0.4907657240063671,0.48900180580733443,0.20933069278278876,0.2228973765783679,0.0,0.19099687785616848,0.34420545622149423,0.0,0.39813367239658576,0.4195875754418569,0.43631917541986204,0.3158771549643955,0.0,0.2376380780262625,0.39625263559556034,0.4752690899713473,0.12945446395326612,0.211662679994949,0.0,0.0,0.4524442575289289,0.43680054460950196,0.0,0.43291545809645116,0.16629022223507628,0.0,0.30737637560937353,0.47507578040050674,0.3807830724689302,0.3006535332975526,0.4341897072203012,0.23670478756867164,0.10476239799035492,0.0,0.4235363798502414,0.18399346593059365,0.0,0.36528031337085176,0.0768370190914213,0.1627099907849843,0.17034506890548648,0.33504415050661657,0.39083393343744205,0.41186329523416465,0.3187592959205316,0.3151782936153236,0.12574365498152912,0.30388789991764803,0.45253749105828384,0.5460836727060159,0.278103772186408,0.12937323985703866,0.24404174574757082,0.13454765226090917,0.0,0.49968420943064507,0.0,0.3304247036268013,0.13770826553290022,0.34010608129387426,0.1274943418876367,0.2797878638244585,0.10144228600196795,0.26005172086027417,0.5271649743856197,0.1764496989888419,0.28654617674108096,0.4340452585875504,0.0,0.48299811269479526
August Gade (F),0.0,0.3874612156955835,0.0,0.1548881537777558,0.0,0.31815552843475997,0.4327373480303851,0.9999999999999999,0.12414825822990334,0.5125250703333152,0.3915630038307112,0.3367183003982973,0.0,0.21683486870804844,0.44292662376135694,0.610165352060558,0.0,0.3654726786678053,0.5055429143815178,0.5596906277670445,0.09770172491578807,0.5064670678524986,0.0,0.13274487399531773,0.33062227643168873,0.5185115450637874,0.3218664465946351,0.48710142695101555,0.4968285819687066,0.457549570392557,0.21303246875633228,0.3694986322979294,0.4953133711306175,0.5201672097402305,0.5659614667606164,0.567910782487656,0.3729518263484876,0.4867546222686381,0.31104998728244837,0.2552432070724109,0.5960887360218933,0.5478313224641665,0.0,0.3975311702586829,0.1576381912196541,0.14493549386374693,0.0,0.07507686285145974,0.32054173366048283,0.5489651335005155,0.5649971860366734,0.3085299117455759,0.2387778362025046,0.0,0.16184174787055722,0.33317861025412465,0.0,0.5910069149020708,0.30723785617616894,0.50875534990791,0.3187438695679309,0.0,0.1772755002783308,0.5989171363826256,0.6788676285396416,0.20597885217983083,0.15033374989471723,0.0,0.018454357104790195,0.5264478942646844,0.44576547387550447,0.0,0.4858390755830697,0.2079652666848917,0.0,0.30402436295002927,0.5379029701552119,0.5503414772851812,0.39852337396615367,0.6318855794447992,0.3111042853702735,0.13735766143214553,0.0,0.5528675846072276,0.23370884093369623,0.0,0.517851693626863,0.1119517008647794,0.035141292031788486,0.1573040105460272,0.31924106966148025,0.3118546662069706,0.45407139206112257,0.3917411948074872,0.38753196940751417,0.14916546124013927,0.4586070049945872,0.36155507608531706,0.6693278977428071,0.28081550833932606,0.10476524488918222,0.36716464201282445,0.11226405665040363,0.0,0.5935684297629775,0.0,0.41409585183282216,0.1527672931589471,0.41826104665504044,0.14413844790924252,0.37288180029156287,0.1075347690115042,0.36560966747619905,0.601449197313567,0.2726495473339366,0.3105063312649413,0.5141961090287003,0.0,0.5186952644992976
Bettina Palle (I),0.0,0.062024100634277615,0.0,0.0,0.0,0.08139279174847765,0.0313188969030682,0.12414825822990334,1.0,0.11909761662467157,0.10109774117248188,0.035009757772679805,0.0,0.0,0.020305819131939924,0.04440504863434826,0.0,0.19493629506586022,0.0771165171214309,0.04520789563581529,0.045040686760427016,0.08038887760666194,0.0,0.022843569645860703,0.04409582163362063,0.19184928049112554,0.09063984907566575,0.04680475460395298,0.050001782386879176,0.24531167077575072,0.03584600685667709,0.03271287126173847,0.11961742393983282,0.03670417846298865,0.06765288127650414,0.09922487518887088,0.19483325350214364,0.03703959619498212,0.07532464979072905,0.030806773922494857,0.10353948205197054,0.14461116814040162,0.0,0.05213144966695177,0.0,0.0,0.0,0.0,0.10470991145159113,0.0738443698685231,0.04405266792876952,0.051179695825853,0.027819365873691396,0.0,0.01515129180586101,0.030708354542904152,0.0,0.06677824417361423,0.012721563269400127,0.18637571458620336,0.042450129590677496,0.0,0.0,0.04078251403161477,0.039002808526360976,0.020309633843152833,0.027179035959676932,0.0,0.0,0.04456707123917057,0.01418272598433107,0.0,0.07323100314820011,0.0,0.0,0.1231149312216767,0.1954423177349768,0.15567177576273447,0.047392895504104346,0.0953927706694806,0.11073775014598079,0.023946735218775557,0.0,0.0435500344330678,0.08533475841186677,0.0,0.019220517391389757,0.0,0.0,0.0404697800701208,0.045194422716673614,0.1080924501740387,0.1359110921856187,0.08829077817827416,0.05721630240888676,0.19236867843117794,0.23917689509601997,0.06546150696807557,0.09156951802025116,0.07916461078293056,0.016723694106069508,0.006866214560640088,0.0,0.0,0.048042046731386706,0.0,0.07867017955033553,0.032380805444025954,0.05234025716197411,0.007644892055998382,0.040558796938097226,0.0,0.0390498138379032,0.10761948381757448,0.05578270912826892,0.026072778209020583,0.0546298990931209,0.0,0.07184430938506262
Bianca Vitting (Ø),0.0,0.34058260877426977,0.0,0.06439574363478777,0.0,0.38993001348945755,0.4071589732390487,0.5125250703333152,0.11909761662467157,1.0000000000000004,0.35895214105072726,0.2897556245701143,0.0,0.14056514667291578,0.4127901727483771,0.5469086547263995,0.0,0.43044721487226406,0.40389383719151567,0.408935546654187,0.11974487716336572,0.4447788874700551,0.0,0.1702395000398158,0.29981854806198915,0.43443334936600764,0.23337210723959942,0.4398704161558892,0.41472369713442836,0.48028548873715976,0.22607537851733542,0.36863811442479705,0.3959804004538338,0.468107903257399,0.45684757234071655,0.5327432263993567,0.3810434692438062,0.4360991947081879,0.28066375756357576,0.17817357179591317,0.5461805381878316,0.48771914281864254,0.0,0.34695052362013384,0.20766334518740778,0.16759397365790007,0.0,0.054417512852024987,0.31145109280971095,0.5127940767417211,0.4954637313343012,0.244804844551449,0.2100583038396488,0.0,0.16771678836311282,0.32369291922272514,0.0,0.5139673600123881,0.3808705307051817,0.4814515865509918,0.2764928995473039,0.0,0.2776984223472525,0.47463131299633415,0.5705738499516175,0.14914780818577628,0.1877497792400456,0.0,0.03528460603898341,0.40487999650955914,0.3566738078657586,0.0,0.5514094179627242,0.1556560981310756,0.0,0.2928642470615391,0.5285574390741133,0.5562867470497526,0.35946172658982367,0.5277172088983343,0.2893804521584375,0.14740970190046956,0.0,0.42258190120678785,0.16970274444819033,0.0,0.48776089642489506,0.08169191451715593,0.09565337751291743,0.14242587206100232,0.30244723235254733,0.32657640042372504,0.38521563655501695,0.34224843982540315,0.3307045739372317,0.18315747825979042,0.3915786068556201,0.33150385659120535,0.5995713098296039,0.31790382895200875,0.07171507270781767,0.25467172623477563,0.08586097700502045,0.0,0.5137377053635365,0.0,0.35196012925372955,0.1352603429187595,0.339053185914097,0.12769591060748903,0.31012226755765676,0.05060523609005749,0.30915483903451874,0.5044341024292421,0.3899781003753217,0.31629563668683147,0.5063152988639951,0.0,0.4347913178093042
