candidate_id,name,party,municipality,priority_number,priority_title,priority_description,priority_full_text
5721,Michael Vindfeldt,A,Frederiksberg Kommune,1,Skolemad i skolerne og renovering af skoler og børnehaver,,Skolemad i skolerne og renovering af skoler og børnehaver
5721,Michael Vindfeldt,A,Frederiksberg Kommune,2,Rengøring hver uge til hjemmehjælpsmodtagere med behov og byggeri af plejehjem,,Rengøring hver uge til hjemmehjælpsmodtagere med behov og byggeri af plejehjem
5721,Michael Vindfeldt,A,Frederiksberg Kommune,3,"400 nye træer de næste fire år, flere lommeparker og grønne byrum samt solceller",,"400 nye træer de næste fire år, flere lommeparker og grønne byrum samt solceller"
5725,Sine Heltberg,A,Frederiksberg Kommune,1,Værdigt seniorliv,"Rengøring hver 2. uge i stedet for hver 3., mere tid til personlig pleje og flere sygeplejersker om natten på plejehjemmene er de seneste forbedringer for vores ældre medborgere - en prioritering, jeg er stolt af. Jeg vil arbejde for flere seniorfællesskaber, styrket demensindsats, styrket inddragelse af frivillige foreninger og flere spisecaféer for hjemmeboende seniorer.","Værdigt seniorliv : Rengøring hver 2. uge i stedet for hver 3., mere tid til personlig pleje og flere sygeplejersker om natten på plejehjemmene er de seneste forbedringer for vores ældre medborgere - en prioritering, jeg er stolt af. Jeg vil arbejde for flere seniorfællesskaber, styrket demensindsats, styrket inddragelse af frivillige foreninger og flere spisecaféer for hjemmeboende seniorer."
5725,Sine Heltberg,A,Frederiksberg Kommune,2,Bedre forhold for børn og unge,"Bedre normeringer i daginstitutionerne og max 24 elever i klasserne er de seneste forbedringer, jeg har stemt for. Og vi skal videre med at skabe de bedste muligheder for vores børn og unge. Jeg vil arbejde for madordninger på skolerne, bedre undervisning og en fritidspolitik, som giver børn og unge en plads i fællesskabet og bedre trivsel. Væk fra skærmen og ind i fællesskabet!","Bedre forhold for børn og unge : Bedre normeringer i daginstitutionerne og max 24 elever i klasserne er de seneste forbedringer, jeg har stemt for. Og vi skal videre med at skabe de bedste muligheder for vores børn og unge. Jeg vil arbejde for madordninger på skolerne, bedre undervisning og en fritidspolitik, som giver børn og unge en plads i fællesskabet og bedre trivsel. Væk fra skærmen og ind i fællesskabet!"
5725,Sine Heltberg,A,Frederiksberg Kommune,3,Træer og grønne åndehuller giver livskvalitet og frisk luft,"Jeg har lige stemt for ekstra 20 millioner kroner til flere træer, blomster og grønne bede. Og vi skal videre ad den vej. Jeg vil arbejde for mindst 500 ekstra træer og flere grønne områder i byen. Alle skal kunne se mindst ét træ fra deres bolig. Flere bænke, udeservering og bedre luftkvalitet skal også være med til at forbedre udelivet i byen.","Træer og grønne åndehuller giver livskvalitet og frisk luft : Jeg har lige stemt for ekstra 20 millioner kroner til flere træer, blomster og grønne bede. Og vi skal videre ad den vej. Jeg vil arbejde for mindst 500 ekstra træer og flere grønne områder i byen. Alle skal kunne se mindst ét træ fra deres bolig. Flere bænke, udeservering og bedre luftkvalitet skal også være med til at forbedre udelivet i byen."
5719,Malte Mathies Løcke,A,Frederiksberg Kommune,1,🏠 BETALBARE BOLIGER,"I min tid som politiker på Frederiksberg har jeg været med til at redde over 3.000 betalbare boliger. Men min kamp for den blandede by er langt fra overstået! Sammen med Socialdemokratiet arbejder jeg for flere almene boliger, bedre beskyttelse af lejeres rettigheder samt målretning af nye boliger til velfærdsmedarbejdere.","🏠 BETALBARE BOLIGER : I min tid som politiker på Frederiksberg har jeg været med til at redde over 3.000 betalbare boliger. Men min kamp for den blandede by er langt fra overstået! Sammen med Socialdemokratiet arbejder jeg for flere almene boliger, bedre beskyttelse af lejeres rettigheder samt målretning af nye boliger til velfærdsmedarbejdere."
5719,Malte Mathies Løcke,A,Frederiksberg Kommune,2,🌳 EN GRØNNERE BY,"Siden 2021 har Socialdemokratiet fået vedtaget mere end 150 nye bytræer i hele kommunen samt tusinder af nye kvadratmeter grønne arealer. I de kommende år vil vi gå endnu længere med 500 flere træer, 3 nye lommeparker, grønne vejrabatter samt et stort byudviklingsprojekt, der begrønner Nordens Plads. Frederiksberg skal blive grønnere år for år!","🌳 EN GRØNNERE BY : Siden 2021 har Socialdemokratiet fået vedtaget mere end 150 nye bytræer i hele kommunen samt tusinder af nye kvadratmeter grønne arealer. I de kommende år vil vi gå endnu længere med 500 flere træer, 3 nye lommeparker, grønne vejrabatter samt et stort byudviklingsprojekt, der begrønner Nordens Plads. Frederiksberg skal blive grønnere år for år!"
5719,Malte Mathies Løcke,A,Frederiksberg Kommune,3,❤️ BEDRE UNGELIV,"For mange kan tilværelsen som ung være rigtig svær. Derfor har jeg bl.a. været med til at skaffe 2,5 mio. kr. ekstra til gratis psykologhjælp for unge på Frederiksberg samt arbejdet for betalbare ungdomsboliger. I de kommende år vil vi skaffe nye ungdomsboliger i Hospitalshaven, få flere børn og unge med i det organiserede fritidsliv og meget mere.","❤️ BEDRE UNGELIV : For mange kan tilværelsen som ung være rigtig svær. Derfor har jeg bl.a. været med til at skaffe 2,5 mio. kr. ekstra til gratis psykologhjælp for unge på Frederiksberg samt arbejdet for betalbare ungdomsboliger. I de kommende år vil vi skaffe nye ungdomsboliger i Hospitalshaven, få flere børn og unge med i det organiserede fritidsliv og meget mere."
5710,Christina Sylvest-Noer,A,Frederiksberg Kommune,1,En tryg start på livet,"Jeg sætter børnene først. Fra første hjerteslag skal vi skabe ro om familierne, sikre en god barsel og tilbyde dagtilbud med høj kvalitet, gode normeringer, omsorg og nærvær – så de mindste kan lege, lære og vokse trygt.","En tryg start på livet : Jeg sætter børnene først. Fra første hjerteslag skal vi skabe ro om familierne, sikre en god barsel og tilbyde dagtilbud med høj kvalitet, gode normeringer, omsorg og nærvær – så de mindste kan lege, lære og vokse trygt."
