party,num_candidates,avg_similarity,median_similarity,std_similarity,min_similarity,max_similarity
O,2,0.46594343367377455,0.46594343367377455,,0.46594343367377455,0.46594343367377455
M,5,0.32058183672929436,0.3329594925242001,0.16752438648010706,0.12357978460385412,0.5647064125689283
Å,5,0.23337330732369038,0.24593716361126464,0.15063672219920132,0.0556000458810954,0.4772039139629317
Ø,17,0.21046350090998522,0.2465614818846356,0.18397229454385816,0.0,0.7858195980148176
I,6,0.19679623897036277,0.19473814086534835,0.13801148442332692,0.0,0.5231145169235838
C,28,0.17801781705624334,0.15824932230974653,0.17245341174556278,0.0,0.8362220923679965
A,20,0.1685276365158989,0.12821295569361596,0.1714488824481913,0.0,0.6686509325787833
V,11,0.1345539254923623,0.0,0.17795696746743372,0.0,0.5242720177863109
F,12,0.12469341799057916,0.07156255370349612,0.15859154504596742,0.0,0.6788676285396416
B,9,0.11354888967512375,0.0,0.18387477959554943,0.0,0.599692807266288
