name,party,Mean_Polarity,Median_Polarity,Std_Polarity,Response_Count
Jacob Rosenberg,C,0.119,0.119,,1
Freja Fokdal,B,0.063,0.063,,1
Merete Winther Hildebrandt,C,0.043,0.043,,1
August Gade,F,0.02,0.02,,1
Nikolaj Rachdi Bührmann,F,0.015,0.015,,1
Søren Dahlstrøm,A,0.007,0.007,,1
Søren Brønchenburg,C,-0.01,-0.01,,1
Carina Høedt,C,-0.013,-0.013,,1
Jens Otto Jarløv,B,-0.02,-0.02,,1
David Michael Gerschwald,O,-0.024,-0.024,,1
Birgit Bech,Ø,-0.03,-0.03,,1
Rami Zouzou,C,-0.041,-0.041,,1
Kristoffer Appel,A,-0.046,-0.046,,1
Preben Boldt,V,-0.046,-0.046,,1
Kurt Pii,M,-0.046,-0.046,,1
Claude Teisen-Simony,T,-0.047,-0.047,,1
Per Odin Thiim Thim,E,-0.048,-0.048,,1
Julius Lundsteen,F,-0.048,-0.048,,1
Christian Ohm-Hieronymussen,V,-0.052,-0.052,,1
Silas T. H. Rasmussen,C,-0.052,-0.052,,1
Tilde Nordin Dræger,Ø,-0.052,-0.052,,1
Malte Mathies Løcke,A,-0.055,-0.055,,1
Kim Christiansen,A,-0.06,-0.06,,1
Janek Balling Majewicz,A,-0.061,-0.061,,1
Jakob Ørsted,Ø,-0.061,-0.061,,1
Alexandra Dessoy,C,-0.061,-0.061,,1
Jens-Christian Navarro Poulsen,B,-0.061,-0.061,,1
Jesper Jerry Schou Nielsen,F,-0.061,-0.061,,1
Martin Skytte,D,-0.061,-0.061,,1
Peder Brandhof,C,-0.061,-0.061,,1
Karsten Lauritsen,B,-0.061,-0.061,,1
Klaus Eskelund,C,-0.061,-0.061,,1
Malou Astrup,A,-0.061,-0.061,,1
Malene Sandfeld,V,-0.061,-0.061,,1
Laurids Kristian Fahl,Ø,-0.061,-0.061,,1
Line Østergaard Olsen,I,-0.061,-0.061,,1
Maj-Britt Mathiesen,C,-0.061,-0.061,,1
Nina Wendt,F,-0.061,-0.061,,1
Mads-Emil Gaardsvig Christensen,Ø,-0.061,-0.061,,1
Per Ludvigsen,V,-0.061,-0.061,,1
Carsten Nørballe,F,-0.061,-0.061,,1
Ane Rolsted,C,-0.061,-0.061,,1
